,Country,Density_(P/Km²)
0,China,153
1,India,464
2,United States,36
3,Indonesia,151
4,Pakistan,287
5,Brazil,25
6,Nigeria,226
7,Bangladesh,1265
8,Russia,9
9,Mexico,66
10,Japan,347
11,Ethiopia,115
12,Philippines,368
13,Egypt,103
14,Vietnam,314
15,DR Congo,40
16,Turkey,110
17,Iran,52
18,Germany,240
19,Thailand,137
20,United Kingdom,281
21,France,119
22,Italy,206
23,Tanzania,67
24,South Africa,49
25,Myanmar,83
26,Kenya,94
27,South Korea,527
28,Colombia,46
29,Spain,94
30,Uganda,229
31,Argentina,17
32,Algeria,18
33,Sudan,25
34,Ukraine,75
35,Iraq,93
36,Afghanistan,60
37,Poland,124
38,Canada,4
39,Morocco,83
40,Saudi Arabia,16
41,Uzbekistan,79
42,Peru,26
43,Angola,26
44,Malaysia,99
45,Mozambique,40
46,Ghana,137
47,Yemen,56
48,Nepal,203
49,Venezuela,32
50,Madagascar,48
51,Cameroon,56
52,Côte d'Ivoire,83
53,North Korea,214
54,Australia,3
55,Niger,19
56,Taiwan,673
57,Sri Lanka,341
58,Burkina Faso,76
59,Mali,17
60,Romania,84
61,Malawi,203
62,Chile,26
63,Kazakhstan,7
64,Zambia,25
65,Guatemala,167
66,Ecuador,71
67,Syria,95
68,Netherlands,508
69,Senegal,87
70,Cambodia,95
71,Chad,13
72,Somalia,25
73,Zimbabwe,38
74,Guinea,53
75,Rwanda,525
76,Benin,108
77,Burundi,463
78,Tunisia,76
79,Bolivia,11
80,Belgium,383
81,Haiti,414
82,Cuba,106
83,South Sudan,18
84,Dominican Republic,225
85,Czech Republic (Czechia),139
86,Greece,81
87,Jordan,115
88,Portugal,111
89,Azerbaijan,123
90,Sweden,25
91,Honduras,89
92,United Arab Emirates,118
93,Hungary,107
94,Tajikistan,68
95,Belarus,47
96,Austria,109
97,Papua New Guinea,20
98,Serbia,100
99,Israel,400
100,Switzerland,219
101,Togo,152
102,Sierra Leone,111
103,Hong Kong,7140
104,Laos,32
105,Paraguay,18
106,Bulgaria,64
107,Libya,4
108,Lebanon,667
109,Nicaragua,55
110,Kyrgyzstan,34
111,El Salvador,313
112,Turkmenistan,13
113,Singapore,8358
114,Denmark,137
115,Finland,18
116,Congo,16
117,Slovakia,114
118,Norway,15
119,Oman,16
120,State of Palestine,847
121,Costa Rica,100
122,Liberia,53
123,Ireland,72
124,Central African Republic,8
125,New Zealand,18
126,Mauritania,5
127,Panama,58
128,Kuwait,240
129,Croatia,73
130,Moldova,123
131,Georgia,57
132,Eritrea,35
133,Uruguay,20
134,Bosnia and Herzegovina,64
135,Mongolia,2
136,Armenia,104
137,Jamaica,273
138,Qatar,248
139,Albania,105
140,Puerto Rico,323
141,Lithuania,43
142,Namibia,3
143,Gambia,239
144,Botswana,4
145,Gabon,9
146,Lesotho,71
147,North Macedonia,83
148,Slovenia,103
149,Guinea-Bissau,70
150,Latvia,30
151,Bahrain,2239
152,Equatorial Guinea,50
153,Trinidad and Tobago,273
154,Estonia,31
155,Timor-Leste,89
156,Mauritius,626
157,Cyprus,131
158,Eswatini,67
159,Djibouti,43
160,Fiji,49
161,Réunion,358
162,Comoros,467
163,Guyana,4
164,Bhutan,20
165,Solomon Islands,25
166,Macao,21645
167,Montenegro,47
168,Luxembourg,242
169,Western Sahara,2
170,Suriname,4
171,Cabo Verde,138
172,Maldives,1802
173,Malta,1380
174,Brunei,83
175,Guadeloupe,237
176,Belize,17
177,Bahamas,39
178,Martinique,354
179,Iceland,3
180,Vanuatu,25
181,French Guiana,4
182,Barbados,668
183,New Caledonia,16
184,French Polynesia,77
185,Mayotte,728
186,Sao Tome & Principe,228
187,Samoa,70
188,Saint Lucia,301
189,Channel Islands,915
190,Guam,313
191,Curaçao,370
192,Kiribati,147
193,Micronesia,164
194,Grenada,331
195,St. Vincent & Grenadines,284
196,Aruba,593
197,Tonga,147
198,U.S. Virgin Islands,298
199,Seychelles,214
200,Antigua and Barbuda,223
201,Isle of Man,149
202,Andorra,164
203,Dominica,96
204,Cayman Islands,274
205,Bermuda,1246
206,Marshall Islands,329
207,Northern Mariana Islands,125
208,Greenland,0
209,American Samoa,276
210,Saint Kitts & Nevis,205
211,Faeroe Islands,35
212,Sint Maarten,1261
213,Monaco,26337
214,Turks and Caicos,41
215,Saint Martin,730
216,Liechtenstein,238
217,San Marino,566
218,Gibraltar,3369
219,British Virgin Islands,202
220,Caribbean Netherlands,80
221,Palau,39
222,Cook Islands,73
223,Anguilla,167
224,Tuvalu,393
225,Wallis & Futuna,80
226,Nauru,541
227,Saint Barthelemy,470
228,Saint Helena,16
229,Saint Pierre & Miquelon,25
230,Montserrat,50
231,Falkland Islands,0
232,Niue,6
233,Tokelau,136
234,Holy See,2003
